,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Katangli,0,RU,1600017124,91,51.71,143.23,48.22,6.69
1,Punta Arenas,40,CL,1600016984,61,-53.15,-70.92,46.4,16.11
2,Conceição do Araguaia,69,BR,1600017124,12,-8.26,-49.26,106.86,4.07
3,Albany,58,US,1600017096,64,42.6,-73.97,73.99,1.01
4,Bluff,100,NZ,1600017036,98,-46.6,168.33,46.99,5.99
5,Ilulissat,5,GL,1600016366,46,69.22,-51.1,30.2,11.41
6,West Wendover,1,US,1600017125,23,40.74,-114.07,62.6,3.36
7,Kapaa,90,US,1600017125,78,22.08,-159.32,78.8,8.05
8,Cape Town,75,ZA,1600017125,82,-33.93,18.42,55.99,18.34
9,Biak,95,ID,1600017051,76,-0.91,122.88,75.38,6.89
10,Port Blair,89,IN,1600017125,79,11.67,92.75,82.36,13.13
11,Bambous Virieux,40,MU,1600016698,78,-20.34,57.76,71.6,6.93
12,Gijang,75,KR,1600017126,82,35.24,129.21,68.0,1.12
13,Aklavik,75,CA,1600017108,76,68.22,-135.01,32.0,3.36
14,Misratah,19,LY,1600017054,74,32.38,15.09,80.82,13.94
15,Laas,5,IT,1600017126,68,46.62,10.7,73.0,4.7
16,Kāmākhyānagar,92,IN,1600017127,90,20.93,85.55,79.47,4.09
17,Eastlake,90,US,1600017127,68,41.65,-81.45,73.99,14.99
18,Laguna,90,US,1600016612,77,38.42,-121.42,66.99,3.24
19,San Cristobal,40,VE,1600017127,49,7.77,-72.22,89.6,12.75
20,Levice,61,SK,1600017128,59,48.22,18.61,80.01,6.38
21,Innisfail,83,AU,1600017128,88,-17.53,146.03,69.12,10.87
22,Busselton,96,AU,1600017128,68,-33.65,115.33,57.0,9.78
23,Faya,20,SA,1600017128,60,18.39,42.45,77.0,5.82
24,Esperance,0,AU,1600017063,100,-33.87,121.9,51.8,8.05
25,Husavik,75,IS,1600016971,81,66.04,-17.34,44.6,9.17
26,Suicheng,57,CN,1600017129,95,33.9,117.93,66.78,4.72
27,Khatanga,8,RU,1600016984,76,71.97,102.5,48.4,5.59
28,Hermanus,67,ZA,1600016976,83,-34.42,19.23,54.0,5.99
29,Dikson,99,RU,1600017129,89,73.51,80.55,47.44,15.79
30,Cherskiy,0,RU,1600017129,80,68.75,161.3,40.15,6.6
31,Ushuaia,75,AR,1600016958,75,-54.8,-68.3,42.8,14.99
32,Mataura,91,NZ,1600017130,98,-46.19,168.86,46.99,5.99
33,Cidreira,28,BR,1600017069,82,-30.18,-50.21,69.26,8.19
34,Ponta do Sol,40,PT,1600017130,88,32.67,-17.1,73.4,13.87
35,Khandyga,81,RU,1600017130,63,62.67,135.6,52.84,5.26
36,Vestmannaeyjar,20,IS,1600016585,87,63.44,-20.27,50.0,18.34
37,Upernavik,99,GL,1600016784,97,72.79,-56.15,31.06,10.0
38,Tsimmerbude,20,RU,1600017131,77,54.67,20.13,60.8,11.18
39,Castro,0,BR,1600017131,30,-24.79,-50.01,85.39,9.28
40,Ambilobe,39,MG,1600017131,73,-13.2,49.05,74.3,4.54
41,Saskylakh,99,RU,1600017132,76,71.92,114.08,46.85,3.04
42,Wanaka,100,NZ,1600017132,81,-44.7,169.15,45.73,7.45
43,Port Alfred,44,ZA,1600017132,62,-33.59,26.89,62.02,13.85
44,Pisco,1,PE,1600017132,72,-13.7,-76.22,66.2,10.29
45,Sitka,1,US,1600016643,70,57.05,-135.33,48.2,4.27
46,Praia da Vitória,20,PT,1600017133,78,38.73,-27.07,78.01,10.8
47,Tuatapere,100,NZ,1600017133,98,-46.13,167.68,46.99,5.99
48,Kahului,1,US,1600017006,77,20.89,-156.47,73.99,3.36
49,Buenos Aires,40,AR,1600016962,82,-34.61,-58.38,64.99,9.17
50,Beringovskiy,100,RU,1600017134,97,63.05,179.32,48.58,12.68
51,Boa Vista,20,BR,1600017134,44,2.82,-60.67,93.2,8.05
52,Ancud,16,CL,1600017134,60,-41.87,-73.82,49.87,6.04
53,Leshan,100,CN,1600017134,91,29.56,103.76,67.06,2.19
54,Novorzhev,36,RU,1600017135,71,57.03,29.33,52.56,8.03
55,Kamyshin,0,RU,1600017135,42,50.1,45.42,59.72,4.7
56,Kimbe,74,PG,1600017135,85,-5.55,150.14,76.23,5.86
57,Leer,100,SS,1600016754,98,8.3,30.14,70.68,2.86
58,Puerto Ayora,40,EC,1600017135,64,-0.74,-90.35,73.4,18.34
59,San Patricio,75,MX,1600016690,75,19.22,-104.7,89.6,6.93
60,Bathsheba,20,BB,1600016711,70,13.22,-59.52,89.6,11.41
